Red,I saw it the other day.. A real demon from hell!,I dreamt about the Sheep of Love.. I hope it exists!,Iwas told Santa Sheep doesn't exist. Prove me it does!
Orange,One day I saw a sheep that only ate carrots! Guess how it ended?,The sunset is the best moment of the day.. Can you find me a sunset sheep?,This sheep looked like a pumpkin! Would you help me find it?
Yellow,Bring me back my little chick.. Please!,"I saw a sheep earlier, it was shining like the sun! ",A gorilla would have eaten this sheep without any hesitation!
Apple,"I crushed green olives on one of my sheeps, but he must not have liked it... bring it back to me!","I want some lime but not a yellow one, I can't stand those.",I am looking for a pale green sheep but i can't remember what it looks like...
Green,Maybe the wool I'm looking for comes from a sick sheep... or just one that has eaten too much grass.,Jimmy keeps rolling in the grass! I've never seen him coming home clean!,"A sheep from Area 51 escaped, we need to find it asap!"
Turquoise,I'm not sure if it was green or blue.. But it sure was pretty nice! Find it?,My turquoise bracelet will look great when petting this one!,I want to remember the Carribeans Ocean..
Cyan,"I had this sheep, all pale blue... I wonder where it could be now.",I'm looking for a sheep to match my new diamond necklace.,He is studying Cyanthologie.
Sky,Look at this beautiful sky! Can you find a sheep like that?,"I'm seeking for a blue, but not a dark one.. Can you help me?",He used to follow me... on Tweeter.
Blue,"I sent one of my sheep to infiltrate the smurf, but it never came back...",I found a strange sheep on Facebook. Guess what was its color.,I feel a little sad... I'm sure a nice sheep would cheer me up!
Purple,I love the color of the amethyst .. Do you think there are animals like that?,Roger used to 'smoke on the water'... Like that good old band.,I would ate grapes my whole life.. Please help me to remember what it's like!
Magenta,"I already have yellow and cyan, I was told that I missed the third... You know the one we often find with it.","I heard this dude talking about ""french magenta""?",Atnegam! *sneeze* Excuse me I have a cold...
Pink,I miss my little pig Abe so much... I would give everything to see it again!,I love #FFC0CB!,Did I ever tell you how much I love rasberries?
White,Winter has always been my favorite season!,"May is approching, soon lilies of the valley will be everywhere!","Let it's snoooow, let it snoooow!"
Black,I saw it the other day it had the color of this damn cat! Bring it back to me!,"White is such a drag, it soils too fast. I hate it!","My sheep ran away last night, I couldn't find it in the dark..."
Grey,I am looking for this rare sheep with its wool full of dust.,"I don't know, is it black or white...? Maybe I should ask Michael.",Help me find a sheep that is like an elephant!
